time,lat,lng,weight
2016-04-24-07:57:21.971,0.2779226152777778,0.37696137730250845,-79
2016-04-24-04:32:26.185,0.2779461141666667,0.3769693057295518,-84
2016-04-24-04:31:40.170,0.27794603194444445,0.37696950720359734,-83
2016-04-24-04:26:15.156,0.2779355055555556,0.37696884255761315,-81
2016-04-18-06:17:15.624,0.2779244136111111,0.37697245009276414,-79
2016-04-24-04:28:51.160,0.2779408561111111,0.3769686680923062,-83
2016-04-24-04:27:42.150,0.27793835527777777,0.3769680706024389,-81
2016-04-18-06:18:09.853,0.2779262613888889,0.37697324283822,-83
2016-04-24-05:15:54.631,0.27793715527777774,0.37696750632539433,-77
2016-04-24-04:42:13.155,0.27793857888888884,0.37697242527380426,-84
2016-04-24-04:44:46.563,0.27793851166666667,0.3769741140523021,-88
2016-04-18-06:18:39.641,0.2779269180555556,0.37697250593541465,-64.99999999999999
2016-04-19-12:31:23.174,0.2779295263888889,0.3769661777507727,-69
2016-04-18-08:37:33.098,0.2779218588888889,0.37695584820266553,-53
2016-04-24-05:03:25.532,0.2779312261111111,0.3769735636585121,-47
2016-04-24-07:57:40.139,0.2779229691666667,0.37696214964374275,-83
2016-04-24-05:07:27.166,0.2779335866666667,0.3769707342937591,-72
2016-04-24-04:53:46.100,0.2779321975,0.3769733877366291,-78
2016-04-19-12:29:07.187,0.2779321975,0.37696504699670463,-68
2016-04-24-04:41:38.157,0.2779390783333333,0.3769719153896176,-86
2016-04-24-05:06:40.179,0.27793316805555557,0.3769725997364395,-127
2016-04-24-08:29:44.695,0.2779347475,0.37697411259237323,-75
2016-04-24-05:07:18.183,0.2779335247222222,0.3769711401592317,-76
2016-04-20-12:46:39.791,0.2779318333333333,0.37696572406279094,-68
2016-04-24-05:18:31.154,0.2779360136111111,0.37696209306873485,-77
2016-04-18-06:19:13.200,0.27792734055555557,0.3769713909049211,-83
2016-04-18-06:19:43.362,0.2779276841666667,0.3769698221889567,-73
2016-04-24-04:52:43.159,0.2779342419444445,0.37697341912519,-90
2016-04-24-05:05:32.970,0.2779318333333333,0.3769732019600639,-78
2016-04-24-04:20:35.940,0.27793530527777777,0.376975736757842,-80
